id,trip,title,kind,lat,lon,address,note,url,visited,created
bali-2026-09-17-p-kuta-beach,bali-2026-09-17,Kuta Beach,beach,-8.7182136,115.1687568,"Kuta Beach, Кута, Бадунг, Бали","Пешком от отеля 5-10 мин. Лучшие закаты, вечером людно.",,,2026-09-16
bali-2026-09-17-p-old-man-s-bali,bali-2026-09-17,Old Man's Bali,cafe,-8.6590452,115.1308598,"Old Man's, 117X, Jalan Pantai Batu Bolong, Чангу","Серф-бар на пляже в Canggu, живая музыка вечером.",,,2026-09-16
bali-2026-09-17-p-motel-mexicola,bali-2026-09-17,Motel Mexicola,cafe,-8.6821587,115.1538416,"Motel Mexicola, 9X, Jalan Kayu Jati, Керобокан Келод","Мексиканская кухня и коктейли, шумно и ярко. ~10 мин на такси от отеля.",,,2026-09-16
bali-2026-09-17-p-la-favela-bali,bali-2026-09-17,La Favela Bali,cafe,-8.6838734,115.16288,"La Favela Bali, 177 X, Jalan Kayu Aya, Семиньяк","Атмосферный бар-джунгли в Seminyak, лучше вечером.",,,2026-09-16
bali-2026-09-17-p-discovery-shopping-mall,bali-2026-09-17,Discovery Shopping Mall,shop,-8.7287042,115.1686537,"GM Discovery Shopping Mall Room, Jalan Kartika Plaza, Кута, Бадунг","Рядом с отелем на Kartika Plaza: шопинг, кино.",,,2026-09-16
bali-2026-09-17-p-tegallalang-rice-terrace,bali-2026-09-17,Tegallalang Rice Terrace,sight,-8.428549,115.2798755,"Mupu Rice Terrace, Tangkup, Кедисан, Тегаллаланг","Рисовые террасы под Убудом. Лучше рано утром, пока нет толп.",,,2026-09-16
bali-2026-09-17-p-pura-tirta-empul,bali-2026-09-17,Pura Tirta Empul,sight,-8.4143644,115.3162086,"Pura Tirta Empul, Jalan Mawar, Mancingan, Манукая","Храм со священными источниками, обряд омовения. Нужен саронг.",,,2026-09-16
bali-2026-09-17-p-sacred-monkey-forest-sanctuary,bali-2026-09-17,Sacred Monkey Forest Sanctuary,sight,-8.5187349,115.2583202,"Лес обезьян, Убуд, Мас, Убуд","Убуд, лес с макаками. Не носить еду и очки в руках.",,,2026-09-16
bali-2026-09-17-p-uluwatu-temple,bali-2026-09-17,Uluwatu Temple,sight,-8.8293693,115.0843428,"Храм Пура Лухур Улувату, Jalan Labuan Sait- Pecatu, Пекату, Южная Кута",Храм на скале над океаном. Закат + танец кечак около 18:00.,,,2026-09-16
bali-2026-09-17-p-padang-padang-beach,bali-2026-09-17,Padang Padang Beach,beach,-8.8112154,115.103637,"Паданг-Паданг, Пекату, Южная Кута, Бадунг","Маленький пляж в скалах рядом с Улувату, спуск через расщелину.",,,2026-09-16
bali-2026-09-17-p-single-fin,bali-2026-09-17,Single Fin,cafe,-8.8148,115.0886,"Pantai Suluban, Uluwatu, Pecatu","Культовый бар над океаном в Улувату, закаты. По воскресеньям вечеринки.",,,2026-09-16
bali-2026-09-17-p-echo-beach-canggu,bali-2026-09-17,Echo Beach Canggu,beach,-8.6548064,115.1248943,"Othree Beach Bar, 03, Чангу, Северная Кута","Пляж в Чангу, кафе вдоль берега, закаты.",,,2026-09-16
bali-2026-09-17-p-crate-cafe,bali-2026-09-17,Crate Cafe,cafe,-8.6486931,115.1371971,"Crate Cafe, Jalan Canggu Padang Linjong, Чангу, Северная Кута","Чангу, лучшие завтраки. Очередь после 9 утра.",,,2026-09-16
bali-2026-09-17-p-kelingking-beach,bali-2026-09-17,Kelingking Beach,sight,-8.751263,115.4731315,"Kelingking Beach, Karangdewa, Бунга Мекар, Нуса Пенида","Нуса-Пенида, скала-тираннозавр. Полный день на лодке от Санура.",,,2026-09-16
bali-2026-09-17-p-tegenungan-waterfall,bali-2026-09-17,Tegenungan Waterfall,sight,-8.5752294,115.2907014,"Водопад Тегенунган, Саба, Блахбатух, Гианьяр","Водопад рядом с Убудом, можно купаться. Удобно совместить с Убудом.",,,2026-09-16
bali-2026-09-17-p-mount-batur,bali-2026-09-17,Mount Batur,fun,-8.2394154,115.3779603,"вулкан Батур, Кинтамани, Бангли, Бали","Треккинг на вулкан к рассвету: выезд ~02:00, подъём 2-3 часа. Рядом горячие источники.",,,2026-09-16
bali-2026-09-17-p-ayung-river,bali-2026-09-17,Ayung River,fun,-8.4706958,115.2411288,"Ayung River, Абиансемаль, Бадунг, Бали","Рафтинг под Убудом, пороги 2-3 категории, без опыта можно.",,,2026-09-16
bali-2026-09-17-p-tanjung-benoa-water-sports,bali-2026-09-17,Tanjung Benoa Water Sports,fun,-8.7578708,115.2216248,"BMR Dive & Water Sports, Jalan Pratama, Танджунг Беноа, Южная Кута","Парасейлинг, флайборд, банан. 20-30 мин на такси от Куты.",,,2026-09-16
bali-2026-09-17-p-tulamben-usat-liberty-wreck,bali-2026-09-17,Tulamben USAT Liberty Wreck,fun,-8.2739054,115.5926122,"USAT Liberty Wreck, Jalan Raya Amlapura-Singaraja, Туламбен, Кубу","Затонувший корабль прямо у берега, дайв и снорклинг. Северо-восток, ~3 ч в пути.",,,2026-09-16
bali-2026-09-17-p-manta-point-nusa-penida,bali-2026-09-17,Manta Point Nusa Penida,fun,-8.7984847,115.5294895,"Manta Point, Батукандик, Нуса Пенида, Клунгкунг","Снорклинг с мантами у Нуса-Пениды. Лучше утром, бывает качка.",,,2026-09-16
